Generation,Max Fitness A,Average Fitness A
0,0.015833642913417316,0.0018206831035664634
1,0.015833642913417316,0.005013002561735274
2,0.015833642913417316,0.006132279089553919
3,0.015833642913417316,0.007904226346808433
4,0.02204729017978713,0.009296537669714252
5,0.02204729017978713,0.010422848461151666
6,0.02204729017978713,0.010994920524985494
7,0.02204729017978713,0.011231639306653865
8,0.02204729017978713,0.011632654936771852
9,0.02204729017978713,0.012262175968801465
10,0.02204729017978713,0.012319087798480833
11,0.02204729017978713,0.012370635674595523
12,0.023900264337162906,0.01288591348767458
13,0.023900264337162906,0.012899391969073058
14,0.023900264337162906,0.012899391969073058
15,0.023900264337162906,0.013104301244201418
16,0.023900264337162906,0.013208793858493825
17,0.023900264337162906,0.01335913260004985
18,0.023900264337162906,0.013884297895444727
19,0.023900264337162906,0.014213045278061054
20,0.023900264337162906,0.01425594492021862
21,0.028496107567909067,0.015186674107851367
22,0.028496107567909067,0.01525440450575059
23,0.028496107567909067,0.01525440450575059
24,0.028496107567909067,0.015436096816795818
25,0.02968441873353277,0.01612789034039617
26,0.02968441873353277,0.016359348810384578
27,0.02968441873353277,0.016359348810384578
28,0.02968441873353277,0.01660192412799712
29,0.02968441873353277,0.01693432826217654
30,0.02968441873353277,0.017010265769555277
31,0.02968441873353277,0.01713185377472723
32,0.02968441873353277,0.01713185377472723
33,0.02968441873353277,0.017364221071605363
34,0.02968441873353277,0.017364221071605363
35,0.02968441873353277,0.017364221071605363
36,0.02968441873353277,0.017364221071605363
37,0.02968441873353277,0.017434080854523075
38,0.02968441873353277,0.017776662587830727
39,0.02968441873353277,0.017776662587830727
40,0.02968441873353277,0.017776662587830727
41,0.02968441873353277,0.01785085749867313
42,0.02968441873353277,0.01788293284126155
43,0.02968441873353277,0.01788293284126155
44,0.02968441873353277,0.01788293284126155
45,0.02968441873353277,0.018049940275354216
46,0.02968441873353277,0.018049940275354216
47,0.02968441873353277,0.018049940275354216
48,0.02968441873353277,0.01808124655892791
49,0.02968441873353277,0.01808124655892791
50,0.02968441873353277,0.01808124655892791
51,0.02968441873353277,0.01808124655892791
52,0.02968441873353277,0.01808124655892791
53,0.02968441873353277,0.01808124655892791
54,0.02968441873353277,0.0181605141715007
55,0.02968441873353277,0.0181605141715007
56,0.02968441873353277,0.0181605141715007
57,0.02968441873353277,0.0181605141715007
58,0.02968441873353277,0.0181605141715007
59,0.02968441873353277,0.01817814260102754
60,0.02968441873353277,0.01817814260102754
61,0.02968441873353277,0.01817814260102754
62,0.02968441873353277,0.01817814260102754
63,0.02968441873353277,0.01817814260102754
64,0.02968441873353277,0.01817814260102754
65,0.02968441873353277,0.018246596888374152
66,0.02968441873353277,0.018246596888374152
67,0.11062515206459464,0.022755257323078534
68,0.11062515206459464,0.022998342994893853
69,0.11062515206459464,0.022998342994893853
70,0.11062515206459464,0.02300273728670443
71,0.11062515206459464,0.02300273728670443
72,0.11062515206459464,0.023395800212671927
73,0.11062515206459464,0.023395800212671927
74,0.11062515206459464,0.023395800212671927
75,0.11062515206459464,0.023395800212671927
76,0.11062515206459464,0.02377024097290318
77,0.11062515206459464,0.02377024097290318
78,0.11062515206459464,0.02379056227566593
79,0.11062515206459464,0.02379056227566593
80,0.11062515206459464,0.02379056227566593
81,0.11062515206459464,0.02379056227566593
82,0.11062515206459464,0.023866986457302782
83,0.11062515206459464,0.023866986457302782
84,0.11062515206459464,0.023866986457302782
85,0.11062515206459464,0.023866986457302782
86,0.11062515206459464,0.023866986457302782
87,0.11062515206459464,0.023866986457302782
88,0.11062515206459464,0.02386789763773741
89,0.11687085459149349,0.024300864121687464
90,0.11687085459149349,0.024300864121687464
91,0.11687085459149349,0.024318362842216293
92,0.11687085459149349,0.024318362842216293
93,0.11687085459149349,0.024318362842216293
94,0.11687085459149349,0.024318362842216293
95,0.11687085459149349,0.024318362842216293
96,0.11687085459149349,0.024318362842216293
97,0.11687085459149349,0.024728011994343192
98,0.11687085459149349,0.024728011994343192
99,0.11687085459149349,0.024728011994343192
100,0.11687085459149349,0.024728011994343192
101,0.11687085459149349,0.024728011994343192
102,0.11687085459149349,0.024728011994343192
103,0.11687085459149349,0.02480332997582502
104,0.11687085459149349,0.024808559414470736
105,0.11687085459149349,0.024808559414470736
106,0.11687085459149349,0.024931957991264384
107,0.11687085459149349,0.024931957991264384
108,0.11687085459149349,0.024931957991264384
109,0.11687085459149349,0.025022821797990646
110,0.11687085459149349,0.025336124236540875
111,0.11687085459149349,0.02799138873588334
112,0.11687085459149349,0.02799138873588334
113,0.11687085459149349,0.028532761750063317
