Generation,Max Fitness B,Average Fitness B
0,0.01336767511453711,0.0008172078301120326
1,0.014013136762245164,0.0026635455944605353
2,0.014013136762245164,0.004067445731872714
3,0.014013136762245164,0.004514511191719401
4,0.014308885698375991,0.005707208706440851
5,0.014308885698375991,0.007092215490831506
6,0.014308885698375991,0.007236470989376358
7,0.014308885698375991,0.008163957102224168
8,0.018447498459103248,0.009129230840319854
9,0.018447498459103248,0.009899670068722919
10,0.018447498459103248,0.010767425584476385
11,0.023312593966751304,0.011569106484776407
12,0.023312593966751304,0.012253667304721211
13,0.023312593966751304,0.012297904335032774
14,0.023312593966751304,0.012343857125532652
15,0.023312593966751304,0.012398756350798538
16,0.023312593966751304,0.012398756350798538
17,0.023312593966751304,0.012531200341189045
18,0.023312593966751304,0.012585750225023026
19,0.023312593966751304,0.012862031937058063
20,0.023312593966751304,0.013975340570494155
21,0.023312593966751304,0.013975340570494155
22,0.023312593966751304,0.014239163195472544
23,0.023312593966751304,0.014361384409758654
24,0.023312593966751304,0.014361384409758654
25,0.023312593966751304,0.014498927193212491
26,0.04917049867199697,0.016322383073454304
27,0.04917049867199697,0.016322383073454304
28,0.04917049867199697,0.016475324753263597
29,0.04917049867199697,0.016475324753263597
30,0.04917049867199697,0.016475324753263597
31,0.04917049867199697,0.01648740221966432
32,0.04917049867199697,0.01648740221966432
33,0.04917049867199697,0.01648740221966432
34,0.04917049867199697,0.01655255484040586
35,0.04917049867199697,0.01655255484040586
36,0.05373511065928666,0.01849387714996336
37,0.05373511065928666,0.01849387714996336
38,0.05373511065928666,0.01849387714996336
39,0.05373511065928666,0.01849387714996336
40,0.05373511065928666,0.018769860759418062
41,0.05373511065928666,0.018786498470977568
42,0.05373511065928666,0.018786498470977568
43,0.05373511065928666,0.018863198686927617
44,0.05373511065928666,0.018863198686927617
45,0.05373511065928666,0.01926368989827893
46,0.05373511065928666,0.019396860499221652
47,0.05373511065928666,0.019396860499221652
48,0.05373511065928666,0.019396860499221652
49,0.05373511065928666,0.01939880761650888
50,0.05373511065928666,0.01939880761650888
51,0.05373511065928666,0.01939880761650888
52,0.05373511065928666,0.01939880761650888
53,0.05377691588752308,0.0194080411366236
54,0.05377691588752308,0.019422702171720447
55,0.05377691588752308,0.019422702171720447
56,0.05377691588752308,0.019878075265900425
57,0.05377691588752308,0.019878075265900425
58,0.05377691588752308,0.020200176334573862
59,0.05377691588752308,0.020252992378978332
60,0.05377691588752308,0.020252992378978332
61,0.05377691588752308,0.020372617824540137
62,0.05377691588752308,0.02060646975050264
63,0.05377691588752308,0.020759452245706238
64,0.05377691588752308,0.020759452245706238
65,0.05377691588752308,0.02120737672295215
66,0.05377691588752308,0.021372033484420374
67,0.05377691588752308,0.021372033484420374
68,0.05377691588752308,0.021607649455382114
69,0.05377691588752308,0.021607649455382114
70,0.05377691588752308,0.021607649455382114
71,0.05377691588752308,0.021607649455382114
72,0.05377691588752308,0.021607649455382114
73,0.05377691588752308,0.021607649455382114
74,0.05377691588752308,0.02186626978821515
75,0.05377691588752308,0.02186626978821515
76,0.05377691588752308,0.02186626978821515
77,0.05377691588752308,0.02186626978821515
78,0.05377691588752308,0.02186626978821515
79,0.05377691588752308,0.02186626978821515
80,0.05377691588752308,0.02186626978821515
81,0.05377691588752308,0.02186626978821515
82,0.05377691588752308,0.02186626978821515
83,0.05377691588752308,0.02186626978821515
84,0.05377691588752308,0.02186626978821515
85,0.05377691588752308,0.02186626978821515
86,0.05377691588752308,0.02186626978821515
87,0.05377691588752308,0.02186626978821515
88,0.05377691588752308,0.02186626978821515
89,0.05377691588752308,0.02186626978821515
90,0.05377691588752308,0.02186626978821515
91,0.05377691588752308,0.02186626978821515
92,0.05377691588752308,0.02186626978821515
93,0.05377691588752308,0.02186626978821515
94,0.05377691588752308,0.02186626978821515
95,0.05377691588752308,0.02186626978821515
96,0.05377691588752308,0.02186626978821515
97,0.05377691588752308,0.02186626978821515
98,0.05377691588752308,0.023176428729363378
99,0.05377691588752308,0.023176428729363378
100,0.05377691588752308,0.023176428729363378
101,0.05377691588752308,0.023176428729363378
102,0.05377691588752308,0.023176428729363378
103,0.05377691588752308,0.023176428729363378
104,0.05377691588752308,0.023176428729363378
105,0.05377691588752308,0.023176428729363378
106,0.05377691588752308,0.023176428729363378
107,0.06893619284670219,0.023991669107140828
108,0.06893619284670219,0.023991669107140828
109,0.06893619284670219,0.023991669107140828
110,0.06893619284670219,0.023991669107140828
111,0.06893619284670219,0.023991669107140828
112,0.06893619284670219,0.023991669107140828
113,0.06893619284670219,0.023991669107140828
114,0.06893619284670219,0.023991669107140828
115,0.06893619284670219,0.023991669107140828
116,0.06893619284670219,0.023991669107140828
117,0.06893619284670219,0.02416154797497743
118,0.06893619284670219,0.02416154797497743
119,0.06893619284670219,0.02416154797497743
120,0.06893619284670219,0.024314116415196232
121,0.06893619284670219,0.024314116415196232
122,0.06893619284670219,0.024314116415196232
123,0.06893619284670219,0.024953258131106378
124,0.06893619284670219,0.024953258131106378
125,0.06893619284670219,0.024953258131106378
126,0.06893619284670219,0.025707462612807947
127,0.06893619284670219,0.025707462612807947
128,0.06893619284670219,0.025707462612807947
129,0.06893619284670219,0.025707462612807947
130,0.06893619284670219,0.025707462612807947
131,0.06893619284670219,0.025707462612807947
132,0.06893619284670219,0.025707462612807947
133,0.06893619284670219,0.025707462612807947
134,0.06893619284670219,0.025707462612807947
135,0.06893619284670219,0.025707462612807947
136,0.06893619284670219,0.025707462612807947
137,0.06893619284670219,0.025707462612807947
138,0.06893619284670219,0.025707462612807947
139,0.06893619284670219,0.025707462612807947
140,0.06893619284670219,0.026184094499887088
141,0.06893619284670219,0.026184094499887088
142,0.06893619284670219,0.026184094499887088
143,0.06893619284670219,0.026184094499887088
144,0.06893619284670219,0.026184094499887088
145,0.06893619284670219,0.026184094499887088
146,0.06893619284670219,0.026285775367081106
147,0.06893619284670219,0.026285775367081106
148,0.06893619284670219,0.026285775367081106
149,0.06893619284670219,0.026285775367081106
